Cohort,Geography,Gender,Percentage,,
80 to 84 years,Nelson,Men+,-0.8%,,
85 to 89 years,Nelson,Men+,-0.9%,,
90 to 94 years,Nelson,Men+,-0.2%,,
95 to 99 years,Nelson,Men+,-0.1%,,
100 years and over,Nelson,Men+,0.0%,,
0 to 4 years,New Denver,Men+,-1.0%,,
5 to 9 years,New Denver,Men+,-2.1%,,
10 to 14 years,New Denver,Men+,-2.1%,,
15 to 19 years,New Denver,Men+,-1.0%,,
20 to 24 years,New Denver,Men+,0.0%,,
25 to 29 years,New Denver,Men+,-2.1%,,
30 to 34 years,New Denver,Men+,-2.1%,,
35 to 39 years,New Denver,Men+,-2.1%,,
40 to 44 years,New Denver,Men+,-1.0%,,
45 to 49 years,New Denver,Men+,-2.1%,,
50 to 54 years,New Denver,Men+,-2.1%,,
55 to 59 years,New Denver,Men+,-3.1%,,
60 to 64 years,New Denver,Men+,-4.2%,,
65 to 69 years,New Denver,Men+,-6.3%,,
70 to 74 years,New Denver,Men+,-7.3%,,
75 to 79 years,New Denver,Men+,-3.1%,,
80 to 84 years,New Denver,Men+,0.0%,,
85 to 89 years,New Denver,Men+,-1.0%,,
90 to 94 years,New Denver,Men+,-1.0%,,
95 to 99 years,New Denver,Men+,0.0%,,
100 years and over,New Denver,Men+,0.0%,,
0 to 4 years,Radium Hot Springs,Men+,-1.5%,,
5 to 9 years,Radium Hot Springs,Men+,-1.1%,,
10 to 14 years,Radium Hot Springs,Men+,-1.5%,,
15 to 19 years,Radium Hot Springs,Men+,-1.5%,,
20 to 24 years,Radium Hot Springs,Men+,-1.9%,,
25 to 29 years,Radium Hot Springs,Men+,-3.4%,,
30 to 34 years,Radium Hot Springs,Men+,-2.2%,,
35 to 39 years,Radium Hot Springs,Men+,-4.5%,,
40 to 44 years,Radium Hot Springs,Men+,-1.9%,,
45 to 49 years,Radium Hot Springs,Men+,-3.4%,,
50 to 54 years,Radium Hot Springs,Men+,-3.0%,,
55 to 59 years,Radium Hot Springs,Men+,-4.5%,,
60 to 64 years,Radium Hot Springs,Men+,-5.6%,,
65 to 69 years,Radium Hot Springs,Men+,-5.6%,,
70 to 74 years,Radium Hot Springs,Men+,-3.4%,,
75 to 79 years,Radium Hot Springs,Men+,-3.0%,,
80 to 84 years,Radium Hot Springs,Men+,-1.1%,,
85 to 89 years,Radium Hot Springs,Men+,-0.4%,,
90 to 94 years,Radium Hot Springs,Men+,0.0%,,
95 to 99 years,Radium Hot Springs,Men+,0.0%,,
100 years and over,Radium Hot Springs,Men+,0.0%,,
0 to 4 years,Revelstoke,Men+,-2.7%,,
5 to 9 years,Revelstoke,Men+,-2.7%,,
10 to 14 years,Revelstoke,Men+,-2.6%,,
15 to 19 years,Revelstoke,Men+,-2.1%,,
20 to 24 years,Revelstoke,Men+,-2.5%,,
25 to 29 years,Revelstoke,Men+,-4.8%,,
30 to 34 years,Revelstoke,Men+,-5.7%,,
35 to 39 years,Revelstoke,Men+,-5.3%,,
40 to 44 years,Revelstoke,Men+,-4.1%,,
45 to 49 years,Revelstoke,Men+,-3.6%,,
50 to 54 years,Revelstoke,Men+,-2.4%,,
55 to 59 years,Revelstoke,Men+,-3.1%,,
60 to 64 years,Revelstoke,Men+,-3.0%,,
65 to 69 years,Revelstoke,Men+,-2.5%,,
70 to 74 years,Revelstoke,Men+,-1.6%,,
75 to 79 years,Revelstoke,Men+,-1.1%,,
80 to 84 years,Revelstoke,Men+,-0.7%,,
85 to 89 years,Revelstoke,Men+,-0.4%,,
90 to 94 years,Revelstoke,Men+,-0.1%,,
95 to 99 years,Revelstoke,Men+,-0.1%,,
100 years and over,Revelstoke,Men+,0.0%,,
0 to 4 years,Rossland,Men+,-2.3%,,
5 to 9 years,Rossland,Men+,-3.8%,,
10 to 14 years,Rossland,Men+,-3.3%,,
15 to 19 years,Rossland,Men+,-2.8%,,
20 to 24 years,Rossland,Men+,-1.8%,,
25 to 29 years,Rossland,Men+,-2.7%,,
30 to 34 years,Rossland,Men+,-3.8%,,
35 to 39 years,Rossland,Men+,-4.6%,,
40 to 44 years,Rossland,Men+,-4.0%,,
45 to 49 years,Rossland,Men+,-4.1%,,
50 to 54 years,Rossland,Men+,-3.5%,,
55 to 59 years,Rossland,Men+,-2.5%,,
60 to 64 years,Rossland,Men+,-3.5%,,
65 to 69 years,Rossland,Men+,-3.5%,,
70 to 74 years,Rossland,Men+,-2.3%,,
75 to 79 years,Rossland,Men+,-1.2%,,
80 to 84 years,Rossland,Men+,-0.8%,,
85 to 89 years,Rossland,Men+,-0.2%,,
90 to 94 years,Rossland,Men+,0.0%,,
95 to 99 years,Rossland,Men+,0.0%,,
100 years and over,Rossland,Men+,0.0%,,
0 to 4 years,Salmo,Men+,-2.2%,,
5 to 9 years,Salmo,Men+,-1.7%,,
10 to 14 years,Salmo,Men+,-2.6%,,
15 to 19 years,Salmo,Men+,-1.3%,,
20 to 24 years,Salmo,Men+,-1.7%,,
25 to 29 years,Salmo,Men+,-2.6%,,
30 to 34 years,Salmo,Men+,-2.6%,,
35 to 39 years,Salmo,Men+,-3.1%,,
40 to 44 years,Salmo,Men+,-2.2%,,
45 to 49 years,Salmo,Men+,-3.1%,,
50 to 54 years,Salmo,Men+,-2.6%,,
55 to 59 years,Salmo,Men+,-3.9%,,
60 to 64 years,Salmo,Men+,-4.4%,,
65 to 69 years,Salmo,Men+,-4.4%,,
70 to 74 years,Salmo,Men+,-3.9%,,
75 to 79 years,Salmo,Men+,-3.1%,,
80 to 84 years,Salmo,Men+,-1.3%,,
85 to 89 years,Salmo,Men+,-0.9%,,
90 to 94 years,Salmo,Men+,-0.4%,,
95 to 99 years,Salmo,Men+,0.0%,,
100 years and over,Salmo,Men+,0.0%,,
0 to 4 years,Silverton,Men+,0.0%,,
5 to 9 years,Silverton,Men+,0.0%,,
10 to 14 years,Silverton,Men+,0.0%,,
15 to 19 years,Silverton,Men+,-3.1%,,
20 to 24 years,Silverton,Men+,-3.1%,,
25 to 29 years,Silverton,Men+,0.0%,,
30 to 34 years,Silverton,Men+,0.0%,,
35 to 39 years,Silverton,Men+,0.0%,,
40 to 44 years,Silverton,Men+,0.0%,,
45 to 49 years,Silverton,Men+,0.0%,,
50 to 54 years,Silverton,Men+,0.0%,,
55 to 59 years,Silverton,Men+,-6.3%,,
60 to 64 years,Silverton,Men+,-3.1%,,
65 to 69 years,Silverton,Men+,-9.4%,,
70 to 74 years,Silverton,Men+,-3.1%,,
75 to 79 years,Silverton,Men+,-6.3%,,
80 to 84 years,Silverton,Men+,-3.1%,,
85 to 89 years,Silverton,Men+,0.0%,,
90 to 94 years,Silverton,Men+,0.0%,,
95 to 99 years,Silverton,Men+,0.0%,,
100 years and over,Silverton,Men+,0.0%,,
0 to 4 years,Slocan,Men+,-2.6%,,
5 to 9 years,Slocan,Men+,-2.6%,,
10 to 14 years,Slocan,Men+,-5.3%,,
15 to 19 years,Slocan,Men+,-1.3%,,
20 to 24 years,Slocan,Men+,-2.6%,,
25 to 29 years,Slocan,Men+,-2.6%,,
30 to 34 years,Slocan,Men+,-1.3%,,
35 to 39 years,Slocan,Men+,-2.6%,,
40 to 44 years,Slocan,Men+,-3.9%,,
45 to 49 years,Slocan,Men+,-2.6%,,
50 to 54 years,Slocan,Men+,-2.6%,,
55 to 59 years,Slocan,Men+,-3.9%,,
60 to 64 years,Slocan,Men+,-3.9%,,
65 to 69 years,Slocan,Men+,-5.3%,,
70 to 74 years,Slocan,Men+,-5.3%,,
75 to 79 years,Slocan,Men+,0.0%,,
80 to 84 years,Slocan,Men+,-2.6%,,
85 to 89 years,Slocan,Men+,-1.3%,,
90 to 94 years,Slocan,Men+,0.0%,,
95 to 99 years,Slocan,Men+,0.0%,,
100 years and over,Slocan,Men+,0.0%,,
0 to 4 years,Sparwood,Men+,-3.5%,,
5 to 9 years,Sparwood,Men+,-3.6%,,
10 to 14 years,Sparwood,Men+,-3.3%,,
15 to 19 years,Sparwood,Men+,-2.4%,,
20 to 24 years,Sparwood,Men+,-2.8%,,
25 to 29 years,Sparwood,Men+,-3.7%,,
30 to 34 years,Sparwood,Men+,-4.0%,,
35 to 39 years,Sparwood,Men+,-4.0%,,
40 to 44 years,Sparwood,Men+,-3.9%,,
45 to 49 years,Sparwood,Men+,-3.5%,,
50 to 54 years,Sparwood,Men+,-3.0%,,
55 to 59 years,Sparwood,Men+,-3.4%,,
60 to 64 years,Sparwood,Men+,-3.6%,,
65 to 69 years,Sparwood,Men+,-3.0%,,
70 to 74 years,Sparwood,Men+,-1.9%,,
75 to 79 years,Sparwood,Men+,-1.0%,,
80 to 84 years,Sparwood,Men+,-0.7%,,
85 to 89 years,Sparwood,Men+,-0.4%,,
90 to 94 years,Sparwood,Men+,-0.1%,,
95 to 99 years,Sparwood,Men+,0.0%,,
100 years and over,Sparwood,Men+,0.0%,,
0 to 4 years,Trail,Men+,-1.8%,,
5 to 9 years,Trail,Men+,-2.5%,,
10 to 14 years,Trail,Men+,-2.3%,,
15 to 19 years,Trail,Men+,-2.2%,,
20 to 24 years,Trail,Men+,-2.7%,,
25 to 29 years,Trail,Men+,-3.5%,,
30 to 34 years,Trail,Men+,-2.7%,,
35 to 39 years,Trail,Men+,-2.8%,,
40 to 44 years,Trail,Men+,-2.6%,,
45 to 49 years,Trail,Men+,-2.7%,,
50 to 54 years,Trail,Men+,-2.7%,,
55 to 59 years,Trail,Men+,-3.2%,,
60 to 64 years,Trail,Men+,-4.4%,,
65 to 69 years,Trail,Men+,-3.7%,,
70 to 74 years,Trail,Men+,-3.3%,,
75 to 79 years,Trail,Men+,-2.1%,,
80 to 84 years,Trail,Men+,-1.5%,,
85 to 89 years,Trail,Men+,-0.9%,,
90 to 94 years,Trail,Men+,-0.4%,,
95 to 99 years,Trail,Men+,-0.1%,,
100 years and over,Trail,Men+,0.0%,,
0 to 4 years,Valemount,Men+,-2.4%,,
5 to 9 years,Valemount,Men+,-3.4%,,
10 to 14 years,Valemount,Men+,-1.9%,,
15 to 19 years,Valemount,Men+,-1.9%,,
20 to 24 years,Valemount,Men+,-2.4%,,
25 to 29 years,Valemount,Men+,-2.4%,,
30 to 34 years,Valemount,Men+,-4.3%,,
35 to 39 years,Valemount,Men+,-3.8%,,
40 to 44 years,Valemount,Men+,-2.4%,,
45 to 49 years,Valemount,Men+,-2.4%,,
50 to 54 years,Valemount,Men+,-3.4%,,
55 to 59 years,Valemount,Men+,-4.8%,,
60 to 64 years,Valemount,Men+,-3.8%,,
65 to 69 years,Valemount,Men+,-4.3%,,
70 to 74 years,Valemount,Men+,-1.9%,,
75 to 79 years,Valemount,Men+,-2.4%,,
80 to 84 years,Valemount,Men+,-1.0%,,
85 to 89 years,Valemount,Men+,-1.0%,,
90 to 94 years,Valemount,Men+,0.0%,,
95 to 99 years,Valemount,Men+,0.0%,,
100 years and over,Valemount,Men+,0.0%,,
0 to 4 years,Warfield,Men+,-2.0%,,
5 to 9 years,Warfield,Men+,-3.1%,,
10 to 14 years,Warfield,Men+,-2.8%,,
15 to 19 years,Warfield,Men+,-2.6%,,
20 to 24 years,Warfield,Men+,-2.0%,,
25 to 29 years,Warfield,Men+,-2.6%,,
30 to 34 years,Warfield,Men+,-3.1%,,
35 to 39 years,Warfield,Men+,-3.7%,,
40 to 44 years,Warfield,Men+,-3.1%,,
45 to 49 years,Warfield,Men+,-2.8%,,
50 to 54 years,Warfield,Men+,-3.4%,,
55 to 59 years,Warfield,Men+,-3.4%,,
60 to 64 years,Warfield,Men+,-4.3%,,
65 to 69 years,Warfield,Men+,-4.0%,,
70 to 74 years,Warfield,Men+,-2.8%,,
75 to 79 years,Warfield,Men+,-1.7%,,
80 to 84 years,Warfield,Men+,-2.0%,,
85 to 89 years,Warfield,Men+,-0.6%,,
90 to 94 years,Warfield,Men+,-0.3%,,
95 to 99 years,Warfield,Men+,0.0%,,
100 years and over,Warfield,Men+,0.0%,,
0 to 4 years,British Columbia,Women+,2.1%,,
5 to 9 years,British Columbia,Women+,2.4%,,
10 to 14 years,British Columbia,Women+,2.5%,,
15 to 19 years,British Columbia,Women+,2.4%,,
20 to 24 years,British Columbia,Women+,2.9%,,
25 to 29 years,British Columbia,Women+,3.3%,,
30 to 34 years,British Columbia,Women+,3.6%,,
35 to 39 years,British Columbia,Women+,3.6%,,
40 to 44 years,British Columbia,Women+,3.3%,,
45 to 49 years,British Columbia,Women+,3.2%,,
50 to 54 years,British Columbia,Women+,3.4%,,
55 to 59 years,British Columbia,Women+,3.7%,,
60 to 64 years,British Columbia,Women+,3.7%,,
65 to 69 years,British Columbia,Women+,3.3%,,
70 to 74 years,British Columbia,Women+,2.8%,,
75 to 79 years,British Columbia,Women+,1.9%,,
80 to 84 years,British Columbia,Women+,1.3%,,
85 to 89 years,British Columbia,Women+,0.8%,,
90 to 94 years,British Columbia,Women+,0.5%,,
95 to 99 years,British Columbia,Women+,0.1%,,
100 years and over,British Columbia,Women+,0.0%,,
0 to 4 years,Canal Flats,Women+,2.5%,,
5 to 9 years,Canal Flats,Women+,1.9%,,
10 to 14 years,Canal Flats,Women+,1.3%,,
15 to 19 years,Canal Flats,Women+,2.5%,,
20 to 24 years,Canal Flats,Women+,1.3%,,
25 to 29 years,Canal Flats,Women+,1.9%,,
30 to 34 years,Canal Flats,Women+,3.1%,,
35 to 39 years,Canal Flats,Women+,2.5%,,
40 to 44 years,Canal Flats,Women+,2.5%,,
45 to 49 years,Canal Flats,Women+,3.8%,,
50 to 54 years,Canal Flats,Women+,3.8%,,
55 to 59 years,Canal Flats,Women+,4.4%,,
60 to 64 years,Canal Flats,Women+,5.6%,,
65 to 69 years,Canal Flats,Women+,3.8%,,
70 to 74 years,Canal Flats,Women+,3.8%,,
75 to 79 years,Canal Flats,Women+,1.3%,,
80 to 84 years,Canal Flats,Women+,1.9%,,
85 to 89 years,Canal Flats,Women+,0.0%,,
90 to 94 years,Canal Flats,Women+,0.6%,,
95 to 99 years,Canal Flats,Women+,0.0%,,
100 years and over,Canal Flats,Women+,0.0%,,
0 to 4 years,Castlegar,Women+,2.3%,,
5 to 9 years,Castlegar,Women+,2.6%,,
10 to 14 years,Castlegar,Women+,2.5%,,
15 to 19 years,Castlegar,Women+,2.4%,,
20 to 24 years,Castlegar,Women+,2.3%,,
25 to 29 years,Castlegar,Women+,2.8%,,
30 to 34 years,Castlegar,Women+,3.3%,,
35 to 39 years,Castlegar,Women+,3.3%,,
40 to 44 years,Castlegar,Women+,3.2%,,
45 to 49 years,Castlegar,Women+,2.8%,,
50 to 54 years,Castlegar,Women+,2.8%,,
55 to 59 years,Castlegar,Women+,3.6%,,
60 to 64 years,Castlegar,Women+,4.0%,,
65 to 69 years,Castlegar,Women+,3.8%,,
70 to 74 years,Castlegar,Women+,3.2%,,
75 to 79 years,Castlegar,Women+,2.6%,,
80 to 84 years,Castlegar,Women+,2.0%,,
85 to 89 years,Castlegar,Women+,1.2%,,
90 to 94 years,Castlegar,Women+,0.5%,,
95 to 99 years,Castlegar,Women+,0.1%,,
100 years and over,Castlegar,Women+,0.0%,,
0 to 4 years,Central Kootenay,Women+,1.9%,,
5 to 9 years,Central Kootenay,Women+,2.3%,,
10 to 14 years,Central Kootenay,Women+,2.5%,,
15 to 19 years,Central Kootenay,Women+,2.2%,,
20 to 24 years,Central Kootenay,Women+,1.8%,,
25 to 29 years,Central Kootenay,Women+,2.4%,,
30 to 34 years,Central Kootenay,Women+,2.9%,,
35 to 39 years,Central Kootenay,Women+,3.1%,,
40 to 44 years,Central Kootenay,Women+,3.2%,,
45 to 49 years,Central Kootenay,Women+,3.1%,,
50 to 54 years,Central Kootenay,Women+,3.1%,,
55 to 59 years,Central Kootenay,Women+,3.9%,,
60 to 64 years,Central Kootenay,Women+,4.5%,,
65 to 69 years,Central Kootenay,Women+,4.4%,,
70 to 74 years,Central Kootenay,Women+,3.7%,,
75 to 79 years,Central Kootenay,Women+,2.3%,,
80 to 84 years,Central Kootenay,Women+,1.6%,,
85 to 89 years,Central Kootenay,Women+,0.9%,,
90 to 94 years,Central Kootenay,Women+,0.4%,,
95 to 99 years,Central Kootenay,Women+,0.1%,,
100 years and over,Central Kootenay,Women+,0.0%,,
0 to 4 years,Central Kootenay A,Women+,1.3%,,
5 to 9 years,Central Kootenay A,Women+,1.6%,,
10 to 14 years,Central Kootenay A,Women+,2.0%,,
15 to 19 years,Central Kootenay A,Women+,1.3%,,
20 to 24 years,Central Kootenay A,Women+,1.1%,,
25 to 29 years,Central Kootenay A,Women+,1.1%,,
30 to 34 years,Central Kootenay A,Women+,1.8%,,
35 to 39 years,Central Kootenay A,Women+,1.8%,,
40 to 44 years,Central Kootenay A,Women+,2.0%,,
45 to 49 years,Central Kootenay A,Women+,2.7%,,
50 to 54 years,Central Kootenay A,Women+,2.5%,,
55 to 59 years,Central Kootenay A,Women+,5.1%,,
60 to 64 years,Central Kootenay A,Women+,7.2%,,
65 to 69 years,Central Kootenay A,Women+,6.0%,,
70 to 74 years,Central Kootenay A,Women+,6.0%,,
75 to 79 years,Central Kootenay A,Women+,2.9%,,
80 to 84 years,Central Kootenay A,Women+,1.3%,,
85 to 89 years,Central Kootenay A,Women+,0.2%,,
90 to 94 years,Central Kootenay A,Women+,0.2%,,
95 to 99 years,Central Kootenay A,Women+,0.0%,,
100 years and over,Central Kootenay A,Women+,0.0%,,
0 to 4 years,Central Kootenay B,Women+,1.9%,,
5 to 9 years,Central Kootenay B,Women+,2.7%,,
10 to 14 years,Central Kootenay B,Women+,3.1%,,
15 to 19 years,Central Kootenay B,Women+,2.7%,,
20 to 24 years,Central Kootenay B,Women+,2.2%,,
25 to 29 years,Central Kootenay B,Women+,1.9%,,
30 to 34 years,Central Kootenay B,Women+,2.4%,,
35 to 39 years,Central Kootenay B,Women+,2.3%,,
40 to 44 years,Central Kootenay B,Women+,2.2%,,
45 to 49 years,Central Kootenay B,Women+,2.3%,,
50 to 54 years,Central Kootenay B,Women+,2.7%,,
55 to 59 years,Central Kootenay B,Women+,4.4%,,
60 to 64 years,Central Kootenay B,Women+,5.2%,,
65 to 69 years,Central Kootenay B,Women+,5.1%,,
70 to 74 years,Central Kootenay B,Women+,4.4%,,
75 to 79 years,Central Kootenay B,Women+,2.3%,,
80 to 84 years,Central Kootenay B,Women+,1.0%,,
85 to 89 years,Central Kootenay B,Women+,0.7%,,
90 to 94 years,Central Kootenay B,Women+,0.1%,,
95 to 99 years,Central Kootenay B,Women+,0.0%,,
100 years and over,Central Kootenay B,Women+,0.1%,,
0 to 4 years,Central Kootenay C,Women+,2.0%,,
5 to 9 years,Central Kootenay C,Women+,2.7%,,
10 to 14 years,Central Kootenay C,Women+,1.7%,,
15 to 19 years,Central Kootenay C,Women+,2.0%,,
20 to 24 years,Central Kootenay C,Women+,1.7%,,
25 to 29 years,Central Kootenay C,Women+,1.7%,,
30 to 34 years,Central Kootenay C,Women+,2.4%,,
35 to 39 years,Central Kootenay C,Women+,2.4%,,
40 to 44 years,Central Kootenay C,Women+,1.7%,,
45 to 49 years,Central Kootenay C,Women+,2.7%,,
50 to 54 years,Central Kootenay C,Women+,3.0%,,
55 to 59 years,Central Kootenay C,Women+,4.1%,,
60 to 64 years,Central Kootenay C,Women+,5.1%,,
65 to 69 years,Central Kootenay C,Women+,6.1%,,
70 to 74 years,Central Kootenay C,Women+,4.4%,,
75 to 79 years,Central Kootenay C,Women+,2.4%,,
80 to 84 years,Central Kootenay C,Women+,1.0%,,
85 to 89 years,Central Kootenay C,Women+,0.7%,,
90 to 94 years,Central Kootenay C,Women+,0.3%,,
95 to 99 years,Central Kootenay C,Women+,0.3%,,
100 years and over,Central Kootenay C,Women+,0.0%,,
0 to 4 years,Central Kootenay D,Women+,2.1%,,
5 to 9 years,Central Kootenay D,Women+,1.7%,,
10 to 14 years,Central Kootenay D,Women+,2.1%,,
15 to 19 years,Central Kootenay D,Women+,2.1%,,
20 to 24 years,Central Kootenay D,Women+,1.7%,,
25 to 29 years,Central Kootenay D,Women+,1.7%,,
30 to 34 years,Central Kootenay D,Women+,1.7%,,
35 to 39 years,Central Kootenay D,Women+,2.7%,,
40 to 44 years,Central Kootenay D,Women+,2.7%,,
45 to 49 years,Central Kootenay D,Women+,3.1%,,
50 to 54 years,Central Kootenay D,Women+,3.1%,,
55 to 59 years,Central Kootenay D,Women+,3.8%,,
60 to 64 years,Central Kootenay D,Women+,6.5%,,
65 to 69 years,Central Kootenay D,Women+,5.1%,,
70 to 74 years,Central Kootenay D,Women+,4.1%,,
75 to 79 years,Central Kootenay D,Women+,2.7%,,
80 to 84 years,Central Kootenay D,Women+,1.0%,,
85 to 89 years,Central Kootenay D,Women+,0.3%,,
90 to 94 years,Central Kootenay D,Women+,0.0%,,
95 to 99 years,Central Kootenay D,Women+,0.0%,,
100 years and over,Central Kootenay D,Women+,0.0%,,
0 to 4 years,Central Kootenay E,Women+,1.3%,,
5 to 9 years,Central Kootenay E,Women+,1.9%,,
10 to 14 years,Central Kootenay E,Women+,2.2%,,
15 to 19 years,Central Kootenay E,Women+,1.9%,,
20 to 24 years,Central Kootenay E,Women+,1.3%,,
25 to 29 years,Central Kootenay E,Women+,1.8%,,
30 to 34 years,Central Kootenay E,Women+,2.8%,,
35 to 39 years,Central Kootenay E,Women+,2.8%,,
40 to 44 years,Central Kootenay E,Women+,3.6%,,
45 to 49 years,Central Kootenay E,Women+,2.9%,,
50 to 54 years,Central Kootenay E,Women+,3.2%,,
55 to 59 years,Central Kootenay E,Women+,3.7%,,
60 to 64 years,Central Kootenay E,Women+,5.8%,,
65 to 69 years,Central Kootenay E,Women+,4.9%,,
70 to 74 years,Central Kootenay E,Women+,3.7%,,
75 to 79 years,Central Kootenay E,Women+,2.2%,,
80 to 84 years,Central Kootenay E,Women+,0.9%,,
85 to 89 years,Central Kootenay E,Women+,0.4%,,
90 to 94 years,Central Kootenay E,Women+,0.3%,,
95 to 99 years,Central Kootenay E,Women+,0.0%,,
100 years and over,Central Kootenay E,Women+,0.0%,,
0 to 4 years,Central Kootenay F,Women+,2.2%,,
5 to 9 years,Central Kootenay F,Women+,2.8%,,
10 to 14 years,Central Kootenay F,Women+,3.0%,,
15 to 19 years,Central Kootenay F,Women+,1.8%,,
20 to 24 years,Central Kootenay F,Women+,1.5%,,
25 to 29 years,Central Kootenay F,Women+,1.7%,,
30 to 34 years,Central Kootenay F,Women+,2.6%,,
35 to 39 years,Central Kootenay F,Women+,4.1%,,
40 to 44 years,Central Kootenay F,Women+,3.6%,,
45 to 49 years,Central Kootenay F,Women+,3.5%,,
50 to 54 years,Central Kootenay F,Women+,3.6%,,
55 to 59 years,Central Kootenay F,Women+,4.1%,,
60 to 64 years,Central Kootenay F,Women+,4.9%,,
65 to 69 years,Central Kootenay F,Women+,4.4%,,
70 to 74 years,Central Kootenay F,Women+,2.9%,,
75 to 79 years,Central Kootenay F,Women+,1.7%,,
80 to 84 years,Central Kootenay F,Women+,0.7%,,
85 to 89 years,Central Kootenay F,Women+,0.5%,,
90 to 94 years,Central Kootenay F,Women+,0.2%,,
95 to 99 years,Central Kootenay F,Women+,0.1%,,
100 years and over,Central Kootenay F,Women+,0.0%,,
0 to 4 years,Central Kootenay G,Women+,2.7%,,
5 to 9 years,Central Kootenay G,Women+,2.7%,,
10 to 14 years,Central Kootenay G,Women+,4.0%,,
15 to 19 years,Central Kootenay G,Women+,1.5%,,
20 to 24 years,Central Kootenay G,Women+,0.9%,,
25 to 29 years,Central Kootenay G,Women+,2.4%,,
30 to 34 years,Central Kootenay G,Women+,3.0%,,
35 to 39 years,Central Kootenay G,Women+,3.0%,,
40 to 44 years,Central Kootenay G,Women+,4.0%,,
45 to 49 years,Central Kootenay G,Women+,3.3%,,
50 to 54 years,Central Kootenay G,Women+,4.0%,,
55 to 59 years,Central Kootenay G,Women+,3.6%,,
60 to 64 years,Central Kootenay G,Women+,4.6%,,
65 to 69 years,Central Kootenay G,Women+,4.0%,,
70 to 74 years,Central Kootenay G,Women+,1.8%,,
75 to 79 years,Central Kootenay G,Women+,1.5%,,
80 to 84 years,Central Kootenay G,Women+,0.6%,,
85 to 89 years,Central Kootenay G,Women+,0.3%,,
90 to 94 years,Central Kootenay G,Women+,0.3%,,
95 to 99 years,Central Kootenay G,Women+,0.0%,,
100 years and over,Central Kootenay G,Women+,0.0%,,
0 to 4 years,Central Kootenay H,Women+,1.7%,,
5 to 9 years,Central Kootenay H,Women+,2.6%,,
10 to 14 years,Central Kootenay H,Women+,2.2%,,
15 to 19 years,Central Kootenay H,Women+,2.0%,,
20 to 24 years,Central Kootenay H,Women+,1.3%,,
25 to 29 years,Central Kootenay H,Women+,1.8%,,
30 to 34 years,Central Kootenay H,Women+,2.9%,,
35 to 39 years,Central Kootenay H,Women+,4.1%,,
40 to 44 years,Central Kootenay H,Women+,4.0%,,
45 to 49 years,Central Kootenay H,Women+,3.3%,,
50 to 54 years,Central Kootenay H,Women+,3.1%,,
55 to 59 years,Central Kootenay H,Women+,4.0%,,
60 to 64 years,Central Kootenay H,Women+,4.3%,,
65 to 69 years,Central Kootenay H,Women+,3.9%,,
70 to 74 years,Central Kootenay H,Women+,3.1%,,
75 to 79 years,Central Kootenay H,Women+,1.6%,,
80 to 84 years,Central Kootenay H,Women+,1.1%,,
85 to 89 years,Central Kootenay H,Women+,0.4%,,
90 to 94 years,Central Kootenay H,Women+,0.2%,,
95 to 99 years,Central Kootenay H,Women+,0.0%,,
100 years and over,Central Kootenay H,Women+,0.0%,,
0 to 4 years,Central Kootenay I,Women+,1.9%,,
5 to 9 years,Central Kootenay I,Women+,2.9%,,
10 to 14 years,Central Kootenay I,Women+,2.7%,,
15 to 19 years,Central Kootenay I,Women+,1.5%,,
20 to 24 years,Central Kootenay I,Women+,1.9%,,
25 to 29 years,Central Kootenay I,Women+,2.3%,,
30 to 34 years,Central Kootenay I,Women+,2.7%,,
35 to 39 years,Central Kootenay I,Women+,3.1%,,
40 to 44 years,Central Kootenay I,Women+,3.1%,,
45 to 49 years,Central Kootenay I,Women+,3.7%,,
50 to 54 years,Central Kootenay I,Women+,4.2%,,
55 to 59 years,Central Kootenay I,Women+,4.4%,,
60 to 64 years,Central Kootenay I,Women+,4.2%,,
65 to 69 years,Central Kootenay I,Women+,3.1%,,
70 to 74 years,Central Kootenay I,Women+,2.7%,,
75 to 79 years,Central Kootenay I,Women+,1.3%,,
80 to 84 years,Central Kootenay I,Women+,1.3%,,
85 to 89 years,Central Kootenay I,Women+,0.8%,,
90 to 94 years,Central Kootenay I,Women+,0.2%,,
95 to 99 years,Central Kootenay I,Women+,0.0%,,
100 years and over,Central Kootenay I,Women+,0.0%,,
0 to 4 years,Central Kootenay J,Women+,1.8%,,
5 to 9 years,Central Kootenay J,Women+,2.3%,,
10 to 14 years,Central Kootenay J,Women+,2.7%,,
15 to 19 years,Central Kootenay J,Women+,2.4%,,
20 to 24 years,Central Kootenay J,Women+,1.7%,,
25 to 29 years,Central Kootenay J,Women+,2.5%,,
30 to 34 years,Central Kootenay J,Women+,3.0%,,
35 to 39 years,Central Kootenay J,Women+,3.3%,,
40 to 44 years,Central Kootenay J,Women+,2.8%,,
45 to 49 years,Central Kootenay J,Women+,3.1%,,
50 to 54 years,Central Kootenay J,Women+,3.8%,,
55 to 59 years,Central Kootenay J,Women+,4.4%,,
60 to 64 years,Central Kootenay J,Women+,4.4%,,
65 to 69 years,Central Kootenay J,Women+,4.1%,,
70 to 74 years,Central Kootenay J,Women+,3.1%,,
75 to 79 years,Central Kootenay J,Women+,1.3%,,
80 to 84 years,Central Kootenay J,Women+,1.0%,,
85 to 89 years,Central Kootenay J,Women+,0.4%,,
90 to 94 years,Central Kootenay J,Women+,0.1%,,
95 to 99 years,Central Kootenay J,Women+,0.0%,,
